GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US36081000100,36081000100,"Census Tract 1, Queens County, New York",7575,711
1400000US36081000200,36081000200,"Census Tract 2, Queens County, New York",3323,322
1400000US36081000400,36081000400,"Census Tract 4, Queens County, New York",5231,672
1400000US36081000600,36081000600,"Census Tract 6, Queens County, New York",4142,481
1400000US36081000700,36081000700,"Census Tract 7, Queens County, New York",6132,548
1400000US36081000800,36081000800,"Census Tract 8, Queens County, New York",3679,409
1400000US36081001000,36081001000,"Census Tract 10, Queens County, New York",4305,416
1400000US36081001200,36081001200,"Census Tract 12, Queens County, New York",4392,496
1400000US36081001400,36081001400,"Census Tract 14, Queens County, New York",3903,673
1400000US36081001600,36081001600,"Census Tract 16, Queens County, New York",2848,443
1400000US36081001800,36081001800,"Census Tract 18, Queens County, New York",3129,370
1400000US36081001900,36081001900,"Census Tract 19, Queens County, New York",2347,259
1400000US36081002000,36081002000,"Census Tract 20, Queens County, New York",2009,300
1400000US36081002200,36081002200,"Census Tract 22, Queens County, New York",2351,277
1400000US36081002400,36081002400,"Census Tract 24, Queens County, New York",2355,232
1400000US36081002500,36081002500,"Census Tract 25, Queens County, New York",7411,814
1400000US36081002600,36081002600,"Census Tract 26, Queens County, New York",2476,303
1400000US36081002800,36081002800,"Census Tract 28, Queens County, New York",3216,414
1400000US36081003000,36081003000,"Census Tract 30, Queens County, New York",1528,276
1400000US36081003100,36081003100,"Census Tract 31, Queens County, New York",1015,169
1400000US36081003200,36081003200,"Census Tract 32, Queens County, New York",1688,189
1400000US36081003300,36081003300,"Census Tract 33, Queens County, New York",2966,340
1400000US36081003400,36081003400,"Census Tract 34, Queens County, New York",2561,257
1400000US36081003600,36081003600,"Census Tract 36, Queens County, New York",3748,496
1400000US36081003700,36081003700,"Census Tract 37, Queens County, New York",0,11
1400000US36081003800,36081003800,"Census Tract 38, Queens County, New York",2681,273
1400000US36081003900,36081003900,"Census Tract 39, Queens County, New York",1690,246
1400000US36081004001,36081004001,"Census Tract 40.01, Queens County, New York",2422,248
1400000US36081004002,36081004002,"Census Tract 40.02, Queens County, New York",1764,185
1400000US36081004200,36081004200,"Census Tract 42, Queens County, New York",4665,514
1400000US36081004300,36081004300,"Census Tract 43, Queens County, New York",2671,293
1400000US36081004401,36081004401,"Census Tract 44.01, Queens County, New York",4130,346
1400000US36081004500,36081004500,"Census Tract 45, Queens County, New York",3639,358
1400000US36081004700,36081004700,"Census Tract 47, Queens County, New York",4037,456
1400000US36081005000,36081005000,"Census Tract 50, Queens County, New York",55,35
1400000US36081005100,36081005100,"Census Tract 51, Queens County, New York",2056,238
1400000US36081005200,36081005200,"Census Tract 52, Queens County, New York",2701,312
1400000US36081005300,36081005300,"Census Tract 53, Queens County, New York",4926,542
1400000US36081005400,36081005400,"Census Tract 54, Queens County, New York",5710,428
1400000US36081005500,36081005500,"Census Tract 55, Queens County, New York",886,149
1400000US36081005700,36081005700,"Census Tract 57, Queens County, New York",4262,415
1400000US36081005800,36081005800,"Census Tract 58, Queens County, New York",6202,541
1400000US36081005900,36081005900,"Census Tract 59, Queens County, New York",4260,496
1400000US36081006100,36081006100,"Census Tract 61, Queens County, New York",5750,536
1400000US36081006201,36081006201,"Census Tract 62.01, Queens County, New York",6559,752
1400000US36081006202,36081006202,"Census Tract 62.02, Queens County, New York",7014,705
1400000US36081006300,36081006300,"Census Tract 63, Queens County, New York",5340,462
1400000US36081006501,36081006501,"Census Tract 65.01, Queens County, New York",3472,322
1400000US36081006502,36081006502,"Census Tract 65.02, Queens County, New York",3764,430
1400000US36081006900,36081006900,"Census Tract 69, Queens County, New York",4380,559
1400000US36081007100,36081007100,"Census Tract 71, Queens County, New York",3539,340
1400000US36081007300,36081007300,"Census Tract 73, Queens County, New York",4330,650
1400000US36081007500,36081007500,"Census Tract 75, Queens County, New York",4252,669
1400000US36081007700,36081007700,"Census Tract 77, Queens County, New York",1828,219
1400000US36081007900,36081007900,"Census Tract 79, Queens County, New York",3376,397
1400000US36081008100,36081008100,"Census Tract 81, Queens County, New York",1418,212
1400000US36081008300,36081008300,"Census Tract 83, Queens County, New York",2935,451
1400000US36081008500,36081008500,"Census Tract 85, Queens County, New York",1090,286
1400000US36081008600,36081008600,"Census Tract 86, Queens County, New York",2920,346
1400000US36081008700,36081008700,"Census Tract 87, Queens County, New York",5089,662
1400000US36081008800,36081008800,"Census Tract 88, Queens County, New York",3772,442
1400000US36081009100,36081009100,"Census Tract 91, Queens County, New York",2657,263
1400000US36081009400,36081009400,"Census Tract 94, Queens County, New York",2717,360
1400000US36081009500,36081009500,"Census Tract 95, Queens County, New York",2521,218
1400000US36081009600,36081009600,"Census Tract 96, Queens County, New York",4006,404
1400000US36081009700,36081009700,"Census Tract 97, Queens County, New York",3561,342
1400000US36081009800,36081009800,"Census Tract 98, Queens County, New York",2859,343
1400000US36081009900,36081009900,"Census Tract 99, Queens County, New York",0,11
1400000US36081010000,36081010000,"Census Tract 100, Queens County, New York",4485,517
1400000US36081010100,36081010100,"Census Tract 101, Queens County, New York",2490,289
1400000US36081010200,36081010200,"Census Tract 102, Queens County, New York",3085,386
1400000US36081010300,36081010300,"Census Tract 103, Queens County, New York",3837,457
1400000US36081010400,36081010400,"Census Tract 104, Queens County, New York",3556,325
1400000US36081010500,36081010500,"Census Tract 105, Queens County, New York",4091,408
1400000US36081010600,36081010600,"Census Tract 106, Queens County, New York",4161,451
1400000US36081010701,36081010701,"Census Tract 107.01, Queens County, New York",0,11
1400000US36081010800,36081010800,"Census Tract 108, Queens County, New York",3536,359
1400000US36081011000,36081011000,"Census Tract 110, Queens County, New York",3426,462
1400000US36081011100,36081011100,"Census Tract 111, Queens County, New York",3419,333
1400000US36081011200,36081011200,"Census Tract 112, Queens County, New York",2321,287
1400000US36081011300,36081011300,"Census Tract 113, Queens County, New York",4554,333
1400000US36081011400,36081011400,"Census Tract 114, Queens County, New York",1277,196
1400000US36081011500,36081011500,"Census Tract 115, Queens County, New York",2252,315
