GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
1400000US36081000100,36081000100,"Census Tract 1, Queens County, New York",5175,481,611,196,602,192,9,17,9,17,0,16,0,16,0,16,0,16,4233,474,0,16,0,16,3999,468,174,170,60,65,0,16,0,16,70,71,56,46,0,16,205,108
1400000US36081000200,36081000200,"Census Tract 2, Queens County, New York",1811,251,614,117,579,117,35,29,6,8,15,19,0,11,14,22,0,11,1098,231,50,50,0,11,1048,234,0,11,0,11,0,11,0,11,0,11,56,52,0,11,43,31
1400000US36081000400,36081000400,"Census Tract 4, Queens County, New York",2372,364,544,172,464,149,80,66,69,65,0,16,11,17,0,16,0,16,1694,354,102,73,14,23,1569,363,9,14,0,16,0,16,0,16,0,16,55,44,0,16,79,70
1400000US36081000600,36081000600,"Census Tract 6, Queens County, New York",2091,307,817,221,584,149,233,176,233,176,0,11,0,11,0,11,0,11,1177,235,227,119,0,11,938,187,12,17,0,11,1,5,0,11,0,11,88,88,0,11,8,13
1400000US36081000700,36081000700,"Census Tract 7, Queens County, New York",3941,383,534,157,447,152,87,62,87,62,0,16,0,16,0,16,0,16,3032,346,0,16,0,16,2825,369,109,63,98,72,0,16,15,24,28,31,214,94,0,16,118,59
1400000US36081000800,36081000800,"Census Tract 8, Queens County, New York",1581,193,662,116,531,109,131,78,124,77,7,10,0,11,0,11,0,11,823,162,89,47,0,11,734,153,0,11,0,11,0,11,0,11,0,11,68,37,9,14,19,17
1400000US36081001000,36081001000,"Census Tract 10, Queens County, New York",2116,228,584,118,515,111,69,38,48,30,7,10,14,23,0,11,0,11,1298,227,152,67,17,23,1121,212,8,11,0,11,0,11,0,11,42,56,148,66,18,23,26,28
1400000US36081001200,36081001200,"Census Tract 12, Queens County, New York",2030,289,807,192,626,146,181,144,181,144,0,11,0,11,0,11,0,11,1111,302,94,69,0,11,1008,303,9,14,0,11,0,11,20,32,0,11,71,34,21,32,0,11
1400000US36081001400,36081001400,"Census Tract 14, Queens County, New York",2014,429,507,158,393,130,114,115,104,113,0,11,10,16,0,11,0,11,1316,371,208,128,0,11,1108,397,0,11,0,11,0,11,0,11,0,11,89,66,32,52,70,76
