GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",7411,308
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5058,773
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5944,502
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",6115,536
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2817,307
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",9608,987
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4733,445
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",130,208
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5760,580
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",2958,315
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4538,460
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5423,487
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1675,208
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3693,418
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3821,383
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",292,86
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1437,217
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6473,802
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1428,184
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",5946,571
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",7814,913
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",6190,587
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4446,391
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1876,217
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",4536,420
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",5101,459
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5583,564
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5721,483
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",2151,272
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",4167,318
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",6463,557
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",2608,333
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",2757,352
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1328,164
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",3869,444
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",7268,768
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",4298,508
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",3309,458
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",5471,597
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",7314,729
