GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US36085000300,36085000300,"Census Tract 3, Richmond County, New York",1927,160
1400000US36085000600,36085000600,"Census Tract 6, Richmond County, New York",2217,226
1400000US36085000700,36085000700,"Census Tract 7, Richmond County, New York",6051,1114
1400000US36085000800,36085000800,"Census Tract 8, Richmond County, New York",5843,500
1400000US36085000900,36085000900,"Census Tract 9, Richmond County, New York",1757,285
1400000US36085001100,36085001100,"Census Tract 11, Richmond County, New York",3346,616
1400000US36085001700,36085001700,"Census Tract 17, Richmond County, New York",1452,267
1400000US36085001800,36085001800,"Census Tract 18, Richmond County, New York",572,80
1400000US36085002001,36085002001,"Census Tract 20.01, Richmond County, New York",2648,268
1400000US36085002002,36085002002,"Census Tract 20.02, Richmond County, New York",3467,385
1400000US36085002100,36085002100,"Census Tract 21, Richmond County, New York",4403,552
1400000US36085002700,36085002700,"Census Tract 27, Richmond County, New York",2376,345
1400000US36085002900,36085002900,"Census Tract 29, Richmond County, New York",4982,702
1400000US36085003300,36085003300,"Census Tract 33, Richmond County, New York",3571,405
1400000US36085003600,36085003600,"Census Tract 36, Richmond County, New York",2769,305
1400000US36085003900,36085003900,"Census Tract 39, Richmond County, New York",2431,451
1400000US36085004000,36085004000,"Census Tract 40, Richmond County, New York",12211,1331
1400000US36085004700,36085004700,"Census Tract 47, Richmond County, New York",3127,410
1400000US36085005000,36085005000,"Census Tract 50, Richmond County, New York",4105,413
1400000US36085005900,36085005900,"Census Tract 59, Richmond County, New York",2986,236
1400000US36085006400,36085006400,"Census Tract 64, Richmond County, New York",3501,371
1400000US36085006700,36085006700,"Census Tract 67, Richmond County, New York",2650,267
1400000US36085007000,36085007000,"Census Tract 70, Richmond County, New York",8895,1035
1400000US36085007400,36085007400,"Census Tract 74, Richmond County, New York",4583,409
1400000US36085007500,36085007500,"Census Tract 75, Richmond County, New York",4060,530
1400000US36085007700,36085007700,"Census Tract 77, Richmond County, New York",1370,217
1400000US36085008100,36085008100,"Census Tract 81, Richmond County, New York",4501,655
1400000US36085009601,36085009601,"Census Tract 96.01, Richmond County, New York",3984,403
1400000US36085009602,36085009602,"Census Tract 96.02, Richmond County, New York",3367,403
1400000US36085009700,36085009700,"Census Tract 97, Richmond County, New York",4526,424
1400000US36085010500,36085010500,"Census Tract 105, Richmond County, New York",4663,542
1400000US36085011201,36085011201,"Census Tract 112.01, Richmond County, New York",6007,600
1400000US36085011202,36085011202,"Census Tract 112.02, Richmond County, New York",5417,697
1400000US36085011401,36085011401,"Census Tract 114.01, Richmond County, New York",2848,303
1400000US36085011402,36085011402,"Census Tract 114.02, Richmond County, New York",3743,378
1400000US36085012100,36085012100,"Census Tract 121, Richmond County, New York",3228,385
1400000US36085012200,36085012200,"Census Tract 122, Richmond County, New York",3753,365
1400000US36085012500,36085012500,"Census Tract 125, Richmond County, New York",2871,325
1400000US36085012804,36085012804,"Census Tract 128.04, Richmond County, New York",4133,373
1400000US36085012805,36085012805,"Census Tract 128.05, Richmond County, New York",2570,305
1400000US36085012806,36085012806,"Census Tract 128.06, Richmond County, New York",5658,693
1400000US36085013201,36085013201,"Census Tract 132.01, Richmond County, New York",1559,114
1400000US36085013203,36085013203,"Census Tract 132.03, Richmond County, New York",5744,526
1400000US36085013204,36085013204,"Census Tract 132.04, Richmond County, New York",4682,390
