GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
1400000US36085000300,36085000300,"Census Tract 3, Richmond County, New York",1066,98,340,71,286,64,54,32,48,31,6,10,0,11,0,11,0,11,509,80,102,40,0,11,105,46,6,9,296,71,0,11,0,11,23,25,125,54,24,23,45,26
1400000US36085000600,36085000600,"Census Tract 6, Richmond County, New York",958,166,589,126,486,130,103,57,68,47,35,42,0,11,0,11,0,11,325,126,132,110,0,11,87,52,0,11,106,59,11,17,0,11,0,11,18,22,0,11,15,19
1400000US36085000700,36085000700,"Census Tract 7, Richmond County, New York",2436,412,668,298,512,189,156,222,0,16,156,222,0,16,0,16,0,16,1488,375,632,302,0,16,210,114,21,36,625,218,0,16,0,16,32,39,170,97,0,16,78,55
1400000US36085000800,36085000800,"Census Tract 8, Richmond County, New York",2652,274,1405,229,1131,204,274,107,117,69,132,74,25,30,0,16,0,16,1038,199,711,188,10,15,149,67,35,44,133,64,0,16,0,16,59,78,106,83,6,10,38,31
1400000US36085000900,36085000900,"Census Tract 9, Richmond County, New York",800,175,230,63,212,60,18,21,13,13,5,10,0,11,0,11,0,11,514,162,241,137,17,27,39,29,0,11,217,78,0,11,0,11,0,11,40,29,0,11,16,17
1400000US36085001100,36085001100,"Census Tract 11, Richmond County, New York",1421,404,542,185,487,165,55,51,40,46,15,23,0,11,0,11,0,11,690,260,238,148,14,21,161,102,26,28,251,107,10,17,0,11,0,11,89,100,0,11,90,68
1400000US36085001700,36085001700,"Census Tract 17, Richmond County, New York",707,120,383,74,356,76,27,19,16,15,5,7,0,11,1,4,5,8,233,73,172,69,0,11,8,10,0,11,53,32,0,11,0,11,0,11,30,35,0,11,61,39
1400000US36085001800,36085001800,"Census Tract 18, Richmond County, New York",296,57,143,45,104,40,39,24,31,22,8,8,0,11,0,11,0,11,33,22,20,14,0,11,4,6,0,11,9,11,0,11,0,11,9,9,98,43,0,11,13,19
1400000US36085002001,36085002001,"Census Tract 20.01, Richmond County, New York",1314,168,741,155,611,140,130,64,77,48,9,13,44,56,0,11,0,11,537,155,387,137,0,11,114,70,12,17,24,31,0,11,0,11,0,11,13,18,0,11,23,26
