GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",970,238,155,111,79,59,76,96,14,21,6,9,0,11,56,94,0,11,586,221,24,32,0,11,562,220,0,11,0,11,27,44,0,11,6,9,184,78,0,11,12,19
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",2597,360,237,108,188,102,49,59,49,59,0,16,0,16,0,16,0,16,1494,331,295,139,0,16,1163,327,36,41,0,16,62,48,17,28,148,121,518,170,18,30,103,97
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3442,744,386,302,219,235,167,177,29,60,0,18,90,146,27,47,21,41,1343,469,185,169,0,18,1079,400,79,99,0,18,0,18,0,18,234,211,1415,402,1,4,63,71
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",6725,662,113,93,113,93,0,16,0,16,0,16,0,16,0,16,0,16,4218,515,58,90,0,16,4065,507,56,68,39,58,68,79,0,16,0,16,1936,560,0,16,390,283
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3852,496,737,304,278,155,459,291,82,73,70,92,44,50,190,225,73,99,1496,296,234,126,0,16,1168,268,94,113,0,16,46,71,0,16,60,79,1318,357,0,16,195,132
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",1231,121,117,56,107,55,10,11,10,11,0,11,0,11,0,11,0,11,657,119,0,11,0,11,641,115,8,12,8,10,20,17,0,11,7,9,279,67,0,11,151,56
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",705,100,96,47,68,41,28,23,28,23,0,11,0,11,0,11,0,11,389,85,86,37,0,11,294,77,0,11,9,14,23,28,0,11,58,36,89,39,19,28,31,29
