GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",4116,366
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",1506,264
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",4340,480
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",4536,299
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",2756,231
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",4054,412
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",4410,341
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",1237,127
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",2401,211
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",7391,579
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",2022,988
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",1232,258
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",4910,405
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",4907,467
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",4707,726
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",4289,584
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",1780,303
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",2800,303
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",3512,353
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",3022,282
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",1708,171
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",4245,478
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",1175,110
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",1506,212
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",2411,203
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",3649,415
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",3336,265
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",2373,158
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",3651,288
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",1378,119
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",2025,186
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",2631,302
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",2369,277
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",2523,221
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",1662,231
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",2424,225
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",2420,271
1400000US36047005400,36047005400,"Census Tract 54, Kings County, New York",3054,267
1400000US36047005601,36047005601,"Census Tract 56.01, Kings County, New York",2302,215
1400000US36047005602,36047005602,"Census Tract 56.02, Kings County, New York",1608,179
1400000US36047005800,36047005800,"Census Tract 58, Kings County, New York",3205,400
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",1337,168
1400000US36047006000,36047006000,"Census Tract 60, Kings County, New York",2745,374
1400000US36047006200,36047006200,"Census Tract 62, Kings County, New York",2908,363
1400000US36047006300,36047006300,"Census Tract 63, Kings County, New York",1967,187
1400000US36047006400,36047006400,"Census Tract 64, Kings County, New York",3171,359
1400000US36047006500,36047006500,"Census Tract 65, Kings County, New York",5874,531
1400000US36047006600,36047006600,"Census Tract 66, Kings County, New York",3566,404
1400000US36047006700,36047006700,"Census Tract 67, Kings County, New York",3941,301
1400000US36047006800,36047006800,"Census Tract 68, Kings County, New York",4771,485
1400000US36047006900,36047006900,"Census Tract 69, Kings County, New York",3581,276
1400000US36047007000,36047007000,"Census Tract 70, Kings County, New York",2552,248
1400000US36047007100,36047007100,"Census Tract 71, Kings County, New York",4830,474
1400000US36047007200,36047007200,"Census Tract 72, Kings County, New York",2073,243
1400000US36047007400,36047007400,"Census Tract 74, Kings County, New York",5856,690
1400000US36047007500,36047007500,"Census Tract 75, Kings County, New York",4700,600
1400000US36047007600,36047007600,"Census Tract 76, Kings County, New York",5124,529
1400000US36047007700,36047007700,"Census Tract 77, Kings County, New York",5105,590
1400000US36047007800,36047007800,"Census Tract 78, Kings County, New York",5459,600
1400000US36047008000,36047008000,"Census Tract 80, Kings County, New York",3835,502
1400000US36047008200,36047008200,"Census Tract 82, Kings County, New York",4275,430
1400000US36047008400,36047008400,"Census Tract 84, Kings County, New York",3895,525
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",7559,597
1400000US36047008600,36047008600,"Census Tract 86, Kings County, New York",0,11
1400000US36047008800,36047008800,"Census Tract 88, Kings County, New York",3042,525
1400000US36047009000,36047009000,"Census Tract 90, Kings County, New York",3245,309
1400000US36047009200,36047009200,"Census Tract 92, Kings County, New York",5703,533
1400000US36047009400,36047009400,"Census Tract 94, Kings County, New York",5429,480
1400000US36047009600,36047009600,"Census Tract 96, Kings County, New York",6477,653
1400000US36047009800,36047009800,"Census Tract 98, Kings County, New York",7403,780
1400000US36047010000,36047010000,"Census Tract 100, Kings County, New York",6459,587
1400000US36047010100,36047010100,"Census Tract 101, Kings County, New York",4459,421
1400000US36047010200,36047010200,"Census Tract 102, Kings County, New York",5081,517
1400000US36047010400,36047010400,"Census Tract 104, Kings County, New York",5677,498
1400000US36047010600,36047010600,"Census Tract 106, Kings County, New York",4862,571
1400000US36047010800,36047010800,"Census Tract 108, Kings County, New York",4303,445
1400000US36047011000,36047011000,"Census Tract 110, Kings County, New York",2702,380
1400000US36047011200,36047011200,"Census Tract 112, Kings County, New York",6561,651
1400000US36047011400,36047011400,"Census Tract 114, Kings County, New York",4538,594
1400000US36047011600,36047011600,"Census Tract 116, Kings County, New York",3683,602
1400000US36047011700,36047011700,"Census Tract 117, Kings County, New York",2851,404
1400000US36047011800,36047011800,"Census Tract 118, Kings County, New York",2112,352
1400000US36047011900,36047011900,"Census Tract 119, Kings County, New York",1529,196
