GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",2032,283,186,102,186,102,0,11,0,11,0,11,0,11,0,11,0,11,1244,283,15,24,16,25,1203,284,10,16,0,11,0,11,0,11,48,46,279,123,0,11,275,142
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",679,169,86,37,62,34,24,17,0,11,18,17,6,12,0,11,0,11,453,152,86,44,0,11,367,147,0,11,0,11,0,11,0,11,40,35,89,63,0,11,11,10
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",2120,289,149,90,116,80,33,53,33,53,0,11,0,11,0,11,0,11,1539,287,16,26,0,11,1414,288,66,83,43,68,46,48,0,11,37,47,170,105,17,25,162,92
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",2449,238,98,49,69,39,29,28,29,28,0,11,0,11,0,11,0,11,1750,197,67,62,0,11,1645,199,38,30,0,11,17,21,10,16,36,29,303,95,29,23,206,64
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",1745,166,101,59,92,56,9,14,7,13,0,11,0,11,2,4,0,11,1217,176,8,12,0,11,1209,175,0,11,0,11,20,21,0,11,41,36,183,72,8,16,175,73
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",2413,244,141,66,111,60,30,29,30,29,0,11,0,11,0,11,0,11,1591,229,0,11,0,11,1582,229,9,15,0,11,63,42,0,11,73,56,251,81,0,11,294,107
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",2735,306,59,41,59,41,0,11,0,11,0,11,0,11,0,11,0,11,2141,318,12,19,0,11,2106,311,23,29,0,11,42,56,0,11,87,83,306,123,18,23,82,54
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",988,85,19,11,12,10,7,11,7,11,0,11,0,11,0,11,0,11,713,77,0,11,0,11,702,75,6,9,5,9,0,11,7,10,12,19,136,54,0,11,101,46
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",982,107,109,49,109,49,0,11,0,11,0,11,0,11,0,11,0,11,559,75,0,11,0,11,547,76,12,12,0,11,0,11,0,11,36,37,229,75,0,11,49,33
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",4113,267,303,111,255,99,48,34,32,30,16,18,0,16,0,16,0,16,2847,242,57,42,0,16,2742,239,48,37,0,16,49,38,0,16,129,73,519,149,0,16,266,75
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",570,141,131,53,108,56,23,27,23,27,0,11,0,11,0,11,0,11,404,136,72,63,0,11,326,119,6,10,0,11,0,11,0,11,8,11,27,34,0,11,0,11
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",3046,292,261,101,194,90,67,50,67,50,0,11,0,11,0,11,0,11,1945,256,46,61,0,11,1769,244,31,27,99,84,63,40,0,11,110,88,258,86,20,23,389,117
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",1929,275,487,126,430,109,57,68,32,48,25,43,0,11,0,11,0,11,1205,239,166,74,21,33,989,222,10,16,19,21,0,11,0,11,0,11,141,66,42,46,54,50
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",1260,240,52,43,52,43,0,11,0,11,0,11,0,11,0,11,0,11,927,243,211,92,0,11,663,226,53,48,0,11,0,11,0,11,3,7,83,70,33,51,162,120
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",1445,264,151,80,136,79,15,23,15,23,0,11,0,11,0,11,0,11,1130,253,0,11,0,11,1130,253,0,11,0,11,17,27,0,11,0,11,131,92,0,11,16,25
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",860,107,439,101,368,95,71,48,58,44,13,19,0,11,0,11,0,11,295,88,30,22,0,11,253,82,7,10,5,9,4,8,0,11,7,10,95,40,8,13,12,13
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",1262,183,141,64,109,56,32,31,8,16,24,27,0,11,0,11,0,11,702,115,21,27,0,11,660,118,21,19,0,11,0,11,0,11,67,67,264,81,11,17,77,48
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",2318,219,257,104,207,90,50,40,21,23,19,20,0,11,0,11,10,15,1541,217,9,15,0,11,1513,219,19,20,0,11,65,68,13,22,71,41,191,86,0,11,180,87
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",1566,239,497,144,393,131,104,63,71,51,33,40,0,11,0,11,0,11,868,222,344,147,0,11,524,153,0,11,0,11,5,10,0,11,0,11,145,81,0,11,51,66
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",919,98,106,48,80,44,26,24,26,24,0,11,0,11,0,11,0,11,656,85,41,29,0,11,579,85,36,22,0,11,0,11,0,11,31,22,76,37,0,11,50,29
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",2035,238,557,155,480,136,77,54,68,53,0,11,9,13,0,11,0,11,1244,224,229,120,0,11,999,201,16,25,0,11,8,13,0,11,9,14,103,67,9,13,105,69
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",766,86,22,22,19,20,3,7,0,11,3,7,0,11,0,11,0,11,629,77,4,8,0,11,620,78,5,7,0,11,6,10,6,8,4,6,56,34,0,11,43,35
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",692,123,349,85,300,68,49,51,23,28,0,11,26,40,0,11,0,11,271,61,64,31,0,11,207,57,0,11,0,11,0,11,0,11,0,11,16,13,0,11,56,35
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",1466,155,75,64,62,47,13,21,13,21,0,11,0,11,0,11,0,11,1062,156,15,16,0,11,1008,159,39,25,0,11,0,11,0,11,57,51,89,46,0,11,183,67
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",2161,296,89,51,65,39,24,31,15,23,0,11,0,11,0,11,9,20,1578,272,26,29,10,14,1542,274,0,11,0,11,14,16,0,11,95,77,157,57,10,15,218,93
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",2263,208,113,52,97,47,16,17,9,13,0,11,0,11,7,11,0,11,1598,190,7,10,7,10,1584,191,0,11,0,11,10,16,0,11,73,51,282,110,0,11,187,78
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",1151,94,469,89,344,72,125,66,99,53,0,11,26,37,0,11,0,11,494,85,83,36,0,11,405,82,6,9,0,11,0,11,0,11,0,11,88,38,17,26,83,41
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",2101,208,111,52,95,51,16,19,16,19,0,11,0,11,0,11,0,11,1429,164,0,11,9,13,1420,164,0,11,0,11,0,11,0,11,103,58,243,104,19,30,196,97
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",526,67,162,55,143,47,19,15,19,15,0,11,0,11,0,11,0,11,261,66,53,33,0,11,208,65,0,11,0,11,0,11,0,11,0,11,54,37,0,11,49,35
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",1115,101,204,75,155,62,49,36,38,34,0,11,11,13,0,11,0,11,676,100,21,18,0,11,634,96,21,23,0,11,28,23,12,13,37,23,64,30,11,15,83,40
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",1322,192,113,71,91,66,22,27,15,24,7,10,0,11,0,11,0,11,865,143,0,11,0,11,865,143,0,11,0,11,15,16,0,11,67,55,117,66,0,11,145,71
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",1205,187,661,148,542,131,119,56,89,47,9,14,21,24,0,11,0,11,441,98,119,64,0,11,299,87,23,31,0,11,0,11,0,11,7,11,51,42,0,11,45,43
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",1555,221,162,83,145,76,17,28,17,28,0,11,0,11,0,11,0,11,930,176,73,59,0,11,857,158,0,11,0,11,34,50,0,11,143,49,134,84,0,11,152,71
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",673,120,200,76,141,67,59,39,48,35,11,16,0,11,0,11,0,11,363,95,115,64,0,11,242,83,6,11,0,11,6,10,0,11,7,12,68,50,21,24,8,12
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",1293,153,403,105,342,87,61,48,40,39,21,32,0,11,0,11,0,11,816,131,361,100,0,11,430,100,25,21,0,11,9,13,0,11,0,11,20,16,0,11,45,35
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",1373,154,283,86,192,58,91,74,60,60,31,45,0,11,0,11,0,11,574,113,135,54,0,11,439,95,0,11,0,11,5,8,0,11,180,72,220,83,0,11,111,59
1400000US36047005400,36047005400,"Census Tract 54, Kings County, New York",1552,229,319,117,301,110,18,28,18,28,0,11,0,11,0,11,0,11,974,192,223,82,0,11,751,164,0,11,0,11,9,14,0,11,8,13,81,45,9,15,152,99
1400000US36047005601,36047005601,"Census Tract 56.01, Kings County, New York",1261,172,286,124,250,108,36,37,36,37,0,11,0,11,0,11,0,11,812,163,114,57,0,11,698,148,0,11,0,11,0,11,0,11,0,11,86,66,0,11,77,71
1400000US36047005602,36047005602,"Census Tract 56.02, Kings County, New York",938,135,208,76,184,72,24,18,17,15,7,10,0,11,0,11,0,11,568,108,151,63,0,11,417,94,0,11,0,11,2,7,0,11,7,9,121,93,0,11,32,29
1400000US36047005800,36047005800,"Census Tract 58, Kings County, New York",1528,274,367,120,333,105,34,39,34,39,0,11,0,11,0,11,0,11,888,182,153,86,0,11,735,154,0,11,0,11,0,11,0,11,24,25,187,89,0,11,62,77
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",863,128,88,54,78,53,10,16,10,16,0,11,0,11,0,11,0,11,445,83,91,60,0,11,348,83,6,9,0,11,0,11,6,9,105,46,96,61,0,11,123,54
1400000US36047006000,36047006000,"Census Tract 60, Kings County, New York",1482,292,321,116,283,108,38,47,38,47,0,11,0,11,0,11,0,11,955,218,80,54,0,11,859,226,16,25,0,11,4,8,0,11,30,35,138,85,0,11,34,27
1400000US36047006200,36047006200,"Census Tract 62, Kings County, New York",1460,176,370,123,334,111,36,44,8,12,28,42,0,11,0,11,0,11,980,169,84,51,0,11,887,167,9,14,0,11,0,11,0,11,0,11,68,50,3,10,39,26
1400000US36047006300,36047006300,"Census Tract 63, Kings County, New York",1145,129,130,58,94,48,36,34,36,34,0,11,0,11,0,11,0,11,851,116,13,13,0,11,829,113,9,15,0,11,0,11,0,11,40,24,83,41,0,11,41,24
